Time,Distance
12380,1.27333
12390,1.31395
12400,1.36278
12410,9.17221
12420,9.31164
12430,9.29377
12440,9.27655
12450,9.25998
12460,9.24407
12470,9.22884
12480,9.21427
12490,8.04031
12500,8.00921
12510,7.97896
12520,7.94956
12530,7.92103
12540,7.89337
12550,3.03417
12560,2.93031
12570,2.82705
12580,2.72445
12590,0.111966
12600,0
12610,0.1247
12620,0.249392
12630,0.374063
12640,1.54084
12650,1.66222
12660,0.747976
12670,0.872547
12680,0.997094
12690,1.1216
12700,1.24604
12710,1.37042
12720,1.49476
12730,1.79291
12740,1.87314
12750,1.95865
12760,2.04879
12770,2.14295
12780,2.24061
12790,3.61587
12800,3.50242
12810,3.38916
12820,3.27611
12830,3.80996
12840,2.70535
12850,2.62568
12860,3.69196
12870,0.37406
12880,0.249378
12890,0.124693
12900,0
12910,0.0985417
12920,0.197077
12930,0.963876
12940,0.394133
12950,0.492643
12960,0.591152
12970,0.689643
12980,1.80234
12990,1.73873
13000,1.67807
13010,0.648569
13020,0.664574
13030,0.693875
13040,1.37853
13050,1.47683
13060,0.844774
13070,0.910269
13080,0.980984
13090,1.8697
13100,1.96784
13110,2.0659
13120,2.16395
13130,1.38268
13140,1.46894
13150,1.55641
13160,0.394118
13170,0.29559
13180,0.197064
13190,0.09853
13200,0
13210,0.333874
13220,8.03602
13230,5.87187
13240,5.78047
13250,5.71139
13260,5.66555
13270,5.64355
13280,4.16377
13290,4.16524
13300,4.19844
13310,5.79523
13320,6.83296
13330,6.63683
13340,6.45485
13350,6.28843
13360,6.13909
13370,6.00826
13380,5.89733
13390,5.8076
13400,5.74015
13410,5.69586
13420,5.67534
13430,4.1879
13440,4.19325
13450,4.23011
13460,4.29763
13470,2.05293
13480,0.667647
13490,0.333881
13500,0
13510,1.64734
13520,1.78064
13530,1.95807
13540,2.16863
13550,2.40335
13560,1.27806
13570,1.2406
13580,1.3041
13590,2.85177
13600,2.95112
13610,3.09211
13620,3.2692
13630,3.47663
13640,4.68325
13650,3.96175
13660,5.55511
13670,5.26622
13680,4.97752
13690,4.68948
13700,4.40271
13710,4.11791
13720,3.83598
13730,3.55807
